Server,Component Type,Component Name,Description,en-US
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.60.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.61.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.62.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.63.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.64.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.65.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.66.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.67.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.68.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.69.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.70.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.71.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.72.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.73.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.74.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.75.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.76.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.77.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.78.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.79.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.80.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.81.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.82.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.83.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.84.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.85.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.86.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.87.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.88.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.89.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.90.St_Caption,
